5.000000000000000000e-01 0.000000000000000000e+00 -6.057925049828738473e-02
1.500000000000000000e+00 1.030655313410646201e+00 -1.571850848385490662e-01
2.500000000000000000e+00 1.527318476926363910e+00 -1.538396320247096827e-01
3.500000000000000000e+00 1.535337710124608179e+00 -1.988791417253588378e-01
4.500000000000000000e+00 1.779050847747324138e+00 -2.748518024928286452e-01
5.500000000000000000e+00 1.616409492213617405e+00 -2.944069723050541931e-01
6.500000000000000000e+00 1.885169172464933318e+00 -1.933977470647396668e-01
7.500000000000000000e+00 1.307713251836116752e+00 -2.520790734346994300e-01
8.500000000000000000e+00 2.280063026147714389e+00 -1.666700122294622055e-01
9.500000000000000000e+00 3.433531064190021631e+00 -3.785763115298220738e-01
1.050000000000000000e+01 4.992021716133507425e+00 -5.331680485550498449e-01
1.150000000000000000e+01 7.945393621071580981e+00 nan
1.250000000000000000e+01 7.945393621071580981e+00 nan
1.350000000000000000e+01 7.945393621071580981e+00 nan
1.450000000000000000e+01 7.945393621071580981e+00 nan
1.550000000000000000e+01 7.945393621071580981e+00 nan
1.650000000000000000e+01 7.945393621071580981e+00 nan
1.750000000000000000e+01 7.945393621071580981e+00 nan
1.850000000000000000e+01 7.945393621071580981e+00 nan
1.950000000000000000e+01 7.945393621071580981e+00 nan
2.050000000000000000e+01 7.945393621071580981e+00 nan
2.150000000000000000e+01 7.945393621071580981e+00 nan
2.250000000000000000e+01 7.945393621071580981e+00 nan
2.350000000000000000e+01 7.945393621071580981e+00 nan
2.450000000000000000e+01 7.945393621071580981e+00 nan
